"adm_ph_error_no_user_selected","Sie haben keinen Benutzer ausgewählt.","No user selected","Nebyl vybrán žádný uživatel.",,"Nie wybrano żadnego użytkownika.","Dvs. nu aţi selectat nici un utilizator.",
"adm_ph_error_username_in_use","Benutzername ist bereits vergeben","Username already taken","Uživatelské jméno je již zadáno",,"Użytkownik juz istnieje.","Numele utilizatorului este deja folosit",
"adm_ph_extend_trialphase","verlängern ...","Extend","prodloužit ...",,"przedłuż…","Prelungire ...",
"adm_ph_extend_trialphase_contact_office","Wenden Sie sich bitte mit der Kundennummer an Office(at)InBox.cc!","Please contact Office(at) InBox.cc with your customer number.","Obraťte se prosím se zákaznickým číslem na Office(at)InBox.cc!",,"Zwróć się do biura Office(at)InBox.cc i przekaż numer klienta.","La solicitarea Office(at)InBox.cc folositi şi numărul de client!",
"adm_ph_external_address","Externe Adresse","External address","Externí adresa",,"Adres zewnętrzny","Adresă externă",
"adm_ph_external_addresses_pop3_collector","Externe POP3 - Konten (POP3 - Sammeldienst)","External POP3 -accounts (POP3 collector)","Externí POP3-účty (POP3)",,"Zewnętrzne konta POP3 (zbiorczy adres POP3)","Extern POP3 - Conturi (POP 3- Serviciu colectare)",
"adm_ph_failed_logins","Fehlgeschlagene Logins","Failed logins","Nezdařená přihlášení",,"Nieudane próby logowania","Login eşuat",
"adm_ph_fax_de_settings","Fax.de Einstellungen","fax.de settings","Nastavení Fax.de",,"Ustawienia Fax.de","Setări Fax.de ",
"adm_ph_fb_number","FB-Nummer","FB number","Číslo FB",,"Numer FB","Număr FB",
"adm_ph_finish_order","Bestellung abschliessen ...","Close order...","Uzavřít objednávku ...",,"Zamknij zamówienie…","Încheiere comandă ...",
"adm_ph_forwarding_invalid_adr","Keine gueltige E-Mail Adresse angegeben.","Invalid email address entered.","Nebyla zadána platná e-mailová adresa.",,"Nie wprowadzono prawidłowego adresu e-mail.","Nu aţi introdus o adresă de e-mail valabilă.",
"adm_ph_forwarding_saved","Die Weiterleitung wurde erfolgreich erstellt/upgedatet!","Rforwarding has been successfully set up/updated!","Přesměrování bylo úspěšně provedeno/aktualizováno.",,"Operacja przekazywania została pomyślnie wykonana/zaktualizowana!","Redirecţionarea a fost cu succes efectuată/update!",
"adm_ph_forwarding_target_address","Zieladresse","Designated address","Cílová adresa",,"Adres docelowy","Adresă destinatar",
"adm_ph_full_shop_demo","Nach der ersten Bestellung steht Ihnen der vollständige Shop zur Verfügung.","you´ll have access to the whole shop after your first order.","Po první objednávce máte k dispozici celou paletu produktů v odd. Shop.",,"Po złożeniu pierwszego zamówienia dostępny jest cały Sklep.","După efectuarea primei comenzi Shop-ul vă stă în totalitate la dispoziţie.",
"adm_ph_global_categories","Globale Kategorien","Golobal categories",,,,"Categorii globale",
"adm_ph_goto_inboxcc_homepage","zur InBox.cc Homepage ...","Go to the InBox.cc homepage","k Homepage InBox.cc...",,"do Homepage InBox.cc...","Salt la pagina principală InBox.cc ...",
"adm_ph_goto_shop","Jetzt zum Shop verbinden ...","Connect with shop","Nyní připojit k odd. Shop ...",,"Połącz teraz ze Sklepem…","Acum conectare la shop ...",
"adm_ph_go_back","Zurück zur letzten Seite ...","Go back to last page","Zpátky na poslední stranu..",,"Powrócić do ostatniej strony...","Înapoi la ultima pagină ...",
"adm_ph_group_admin_no_more_users","Sie haben noch keine weiteren Benutzer angelegt - tun Sie dies bitte nun hier!","You haven´t created any more users- you can do so here now!",,,"Jeszcze nie wprowadzili Państwo dalszych użytkowników - proszę zrobić to tutaj!","Nu aţi creat încă noi utilizatori -creaţi aici!",
"adm_ph_group_admin_no_teams_defined","Es wurde noch keine Arbeitsgruppe definiert.","No work goup has been defined so far",,,"Jeszcze nie zdefiniowano grupy roboczej.","Încă nu a fost nici o grupă de lucru definită.",
"adm_ph_group_memberships","Gruppenmitgliedschaften","Group memberships","Členství ve skupinách",,"Członkostwo grup","Membri grupului",
"adm_ph_group_memberships_none","Keine vorhanden","None available","Žádné",,"Brak","Nu există",
"adm_ph_help_guides","Hilfe & Anleitungen","Help & guidelines","Pomoc & Návody",,"Pomoc oraz instrukcje","Ajutor & Descriere",
"adm_ph_hint_nothing_ordered_yet_title","Sie haben bisher noch keine Bestellung durchgeführt.","You haven´t ordered any product at InBox.cc until now","Zatím nebyl objednán žádný produkt u InBox.cc.",,"Nie zamówiono jeszcze w InBox.cc żadnego produktu.","Incă nu aţi comandat nici un produs la InBox.cc .",
"adm_ph_inactive_description","Inaktive Benutzer sind nicht gesperrt erhalten aber keine Newsletter, Benachrichtigungen usw.
			<br>
			Ein Login-Vorgang hebt den Inaktiv-Status automatisch auf.",,,,,"Utilizatori inactivi nu sunt blocaţi, ci numai primesc Newsletter, Înştiinţări etc. <br> O procedură de logare anulează automat statutul de inactiv.",
"adm_ph_inherited_membership_possible","Mitgliedschaft bei anderen Gruppen kann auch vererbt werden ","Membership of other groups may be inherited.","Členství v jiných skupinách může být předáno",,"Członkostwo w innych grupach można również przekazywać","Calitatea de membru la InBox.cc poate fi preluată şi în alte grupe.",
"adm_ph_interested_party","Interessent","Prospect","Zájemce",,"Osoba zainteresowana","Viitor cumpărător",
"adm_ph_internal_companies_found","Unternehmen zur internen Verwaltung gefunden","Companies found for internal administration",,,"Znaleziono firmę do wewnętrznej administracji","Sa găsit firma pentru administrarea internă",
"adm_ph_invoices_dunning_level","Mahnstufe","Dunning level","Stupeň upomínky",,"Poziom upomnienia","Avertisment",
"adm_ph_invoice_address","Rechnungsadresse","Billing address","Fakturační adresa",,"Adres do rachunku","Adresa facturi",
"adm_ph_invoice_address_empty","wenn anders als oben angegebene; ansonsten LEER lassen","If different to above ; otherwise leave empty","V případě jiné, než výš uvedené; jinak ponechat prázdné",,"jeśli inny, niż podany powyżej; w przeciwnym razie miejsce to należy zostawić PUSTE","Precum scris mai sus; astfel lăsaţi NE COMPLETAT",
"adm_ph_items_found","Einträge gefunden","Entries found","Nalezené záznamy",,"Znaleziono wpisy","Elemnte găsite",
"adm_ph_last_50_logins","Die letzten 50 erfolgreichen Logins","Last 50 successful logins","Posledních 50 úspěšných přihlášení",,"Ostatnie 50 pomyślnych operacji logowania","Ultimele 50 login-uri de succes",
"adm_ph_last_login","Letztes Login","Last login","Poslední přihlášení",,"Ostatnie logowanie","Ultimul Login",
"adm_ph_last_selected_company","Zuletzt ausgewähltes Unternehmen:","Last selected company","Poslední zvolené společnosti:",,"Ostatnio wybrane przedsiębiorstwo:","Ultima firmă selectată:",
"adm_ph_licences_available","Verfügbare Lizenzen","Available licences",,,"Dostępne licencje","Licenţe disponibile",
"adm_ph_licences_in_use","Lizenzen in Gebrauch","Licences in use",,,"Licencje w użyciu","licenţă în folosire",
"adm_ph_licence_additional_to_base","zusaetzlich zu den u.U. bereits in den Grundpaketen enthaltenen Kontingenten",,"dodatečně k již zahrnutým produktům v základním balíčku",,"dodatkowo do limitów ew. już przyznanych w pakietach podstawowych","Adiţional uneori se află contingente şi în pachetul de bază",
"adm_ph_licence_available","Verfügbar","Available","K dispozici",,"Dostępne","Disponibil",
"adm_ph_licence_available_contingents","Verfügbare Kontingente","Available contingents","Dostupné produkty/limity",,"Dostępne limity","Contingentul disponibil",
"adm_ph_licence_fax_number_intl","Int. Fax Empfangsrufnummer","International ","Interní faxové číslo (příjem faxů)",,"Nr wewn. do odbierania faksów","Număr de fax internaţional de recepţionare",
"adm_ph_licence_points","Punkte","Points fax number","Body",,"Punkty","Puncte",
"adm_ph_licence_space","Speicherplatz","Storage ","Velikost paměti",,"Zasoby pamięci","Memorie",
"adm_ph_licence_status","Aktuell erworbene Lizenzen/Kontingente","Obtained licences/contingents up to date","Aktuální získané licence/limity",,"Aktualnie uzyskane licencje/limity","Licenţa actual dobândită/Contingente",
"adm_ph_licence_status_add_goto_shop","jetzt Produkte/Kontingente nachbestellen ...","Now re-order products/contingents","Objednat produkty/limity ...",,"zamów teraz dodatkowo produkty/limity…","acum de comandat produse/contingente ",
"adm_ph_licence_status_updated","Der Lizenzstatus wurde upgedatet.","The license has been updated",,,,"Licenţa a fost actualizată.",
"adm_ph_licence_total","Total","Total amount","Celkem",,"Łącznie","Total",
"adm_ph_licence_users","Weitere Benutzerkonten","Other user accounts",,,"Dalsze konta użytkowników","alte conturi de utilizatori",
"adm_ph_login_allowed","Login erlaubt",,,,,"Login-ul este permis",
"adm_ph_login_enter_full_username","Bitte geben Sie Ihren vollen Benutzernamen (Benutzername@Domain) ein.","Please enter your full user name (user name@domain)","Zadejte prosím Vaše celé uživatelské jméno (uživatelské jméno@doména).",,"Prosze podać pełne nazwisko użytkownika (użytkownik@domena).","Vă rugăm introduceţi numele de utilizator corespunzător.(utilizator@domen)",
"adm_ph_login_goto_ssl","Jetzt zur SSL verschluesselten Version wechseln ...","Move to SSL encrypted version now...","Přejít k zakódované verzi SSL...",,"Zmień teraz do kodowanej wersji SSL...","Acum schimbaţi către versiunea codată SSL ...",
"adm_ph_login_neither_admin_nor_partner","Sie sind weder Administrator noch Partner und koennen das Admin-Tool daher nicht nutzen.","You ´re neither administrator nor partner and therefore unable to use the AdminTool.","Neboť nejste ani administrátor, ani partner, nemůžete proto používat Admin-Tool",,"Nie jesteś ani administratorem, ani partnerem, dlatego nie możesz korzystać z Admin-Tool.","Dvs. nu sunteţi administrator şi nici partener, de aceea nu puteţi folosi admin-tool",
"adm_ph_login_page_title","Administration & Shop","Administration & shop","InBox.cc administrativa & obchod/Shop",,"InBox.cc Administracja&Sklep","InBox.cc administrator & shop",
"adm_ph_logout","Jetzt vom AdminTool ausloggen","Admin tool log out","Odhlásit se z InBox.cc AdminTool",,"Wyloguj z panelu InBox.cc AdminTool","Acum logout din InBox.cc AdminTool",
"adm_ph_mailbox_limit","Mailboxlimit","Mailbox limit","Limit poštovní schránky",,"Limit skrzynki pocztowej","Limită mailbox",
"adm_ph_mailbox_limit_ava_used","Verfügbar/Belegt","available/used","Dostupné/obsazené",,"Dostępne/zajęte","Disponibil/Ocupat",
"adm_ph_mail_subject_team_invitation","Einladung in das Team %TEAM%",,,,,"Invitaţie în echipa %TEAM%",
"adm_ph_marketing_link_requested","Ein Affiliate-Code wurde noch nicht eingerichtet. Das InBox.cc Team wurde soeben darueber benachrichtigt!
	
	Sie werden informiert sobald der Link erstellt wurde.","An affiliate code hasn ´t been set up yet.The InBox.cc Team has just been notified thereof! You will be informed as soon as the link has been established",,,"Kod powiązany nie został jeszcze utworzony. Zespół InBox.cc dopiero otrzymał taką informację! Zostaną Państwo poinformowani, gdy tylko utworzymy odpowiedni link.","Echipei InBox.cc ia fost semnalizat, că nu a fost creat un cod-affiliat! Veţi fi încurând informat despre crearea link-ului.",
"adm_ph_members_administration","Mitgliederverwaltung","Members administration",,,"Zarządzanie członkami","Administrare membri",
"adm_ph_nav_account_data","Stammdaten","Master data","Základní údaje",,"Dane podstawowe","Date generale",
"adm_ph_nav_account_data_description","Anzeigen/editieren","show/edit","Zobrazit/editovat",,"Wyświetl/edytuj","Vizualizare/Editare",
"adm_ph_nav_billing","Rechnungen","Invoices","Faktury/účetnictví",,"Rachunki/Księgowość","Facturi/Contabilitate",
"adm_ph_nav_billing_description","Archiv anzeigen","Show archive","Zobrazit archív",,"Pokaż archiwum","Arată arhiva",
"adm_ph_nav_companynews","Unternehmensnachrichten","Company news","Firemní zprávy",,"Wiadomości firmowe","Mesaje firmă",
"adm_ph_nav_customer_administration","Kundenverwaltung","Customer management","Správa zákazníků",,"Administracja danych klientów","Administrare clienţi",
"adm_ph_nav_group_administration","Gruppenverwaltung","Group management","Správa skupin",,"Administracja grup","Administrare grupe",
"adm_ph_nav_group_administration_groups","Gruppen verwalten","Management of groups","Úprava skupin",,"Zarządzaj grupami","Adminisrarea grupelor",
"adm_ph_nav_group_administration_secretary","Secretary-Funktion","Secretary function","Funkce 'Secretary'",,"Funkcja „Secretary”","Funcţiuni secretară",
"adm_ph_nav_help","Hilfe &amp; Downloads","Help & downloads","Pomoc & amp; Downloads ",,"Pomoc oraz pliki do pobrania","Ajutor & Downloads",
"adm_ph_nav_help_description","Anleitungen und Screenshows","Instructions and sreenshows","Návody a zobrazení",,"Instrukcje i zrzuty ekranowe","Instrucţiuni şi Screenshows",
"adm_ph_nav_marketing","Marketing","Marketing","Marketing",,"Marketing","Marketing",
"adm_ph_nav_marketing_description","Logos, Affiliate-Links, Broschueren ...","Logos, affiliate links, brochures...","Loga, přidružené linky, brožury ...",,"Logo, linki powiązane, broszury…","Logo, Link-uri afliate,broşuri",
"adm_ph_nav_overview_description","Das Wichtigste übersichtlich auf einen Blick",,"Přehled nejdůležitějších informací",,"Przegląd najważniejszych informacji","Cel mai important clar la vedere",
"adm_ph_nav_security","Sicherheit","Security","Zabezpečení",,"Bezpieczeństwo","Siguranţă",
"adm_ph_nav_shop_buy_add_items","Erweiterungen kaufen","Buy upgradings","Nákup rozšíření",,"Zakup rozszerzeń","Cumpărare extensii",
"adm_ph_nav_shop_display_licence_status","Lizenzstatus","Licence status","Zobrazit aktuální licence",,"Pokaż aktualne licencje","Arată actualele lincenţe",
"adm_ph_nav_shop_promocodes","Promocodes","Promocodes","Promokódy",,"Kody promocji","Coduri promovare",
"adm_ph_nav_top_overview","Home / Übersicht","home/summary","Domů / Přehled",,"Strona główna / przegląd","Pagina principală/Perspectivă",
"adm_ph_nav_user_administration","Benutzerverwaltung","User administration","Správa uživatelů",,"Administracja danych użytkowników","Administrare utilizatori",
"adm_ph_nav_user_administration_list","Auflisten","List ","Výpis",,"Pokaż listę","Listare",
"adm_ph_nav_user_administration_new_user","Neuer Benutzer","New User","Vytvořit nového uživatele.",,"Utwórz nowego użytkownika","Crează un nou utilizator",
